file,group,time,channel,n_cells,mean_cell_intensity,median_cell_intensity,mean_nonzero_pixels,fold_change
CNTL-MB231,Control,3,LipiBlue,250,18.988616943359375,19.24679183959961,6499.5,0.8736250973509571
CNTL-MB231,Control,3,342,250,55.64213180541992,62.5220947265625,6839.2,0.8474378431364119
CNTL-MB231,Control,3,BODIPY,250,21.323301315307617,21.180315017700195,8889.7,0.925465648779131
CNTL-MB231,Control,3,pHrodo,250,17.923261642456055,17.631046295166016,6298.6,0.9263428862715702
CNTL-MB231,Control,3,TMRM,250,18.091154098510742,17.787330627441406,6255.8,0.931607365306261
CNTL-MB231,Control,3,Lyso,250,13.773445129394531,13.987918853759766,6278.8,0.9148966738756134
CNTL-MB231,Control,3,Tubulin,250,42.999488830566406,44.764652252197266,11394.9,0.8575745767268909
CNTL-MB231,Control,4,LipiBlue,250,17.4408016204834,16.352432250976562,6622.6,0.8024134700817199
CNTL-MB231,Control,4,342,250,49.40816116333008,50.960365295410156,6655.3,0.7524935542730269
CNTL-MB231,Control,4,BODIPY,250,19.717239379882812,18.430583953857422,9046.9,0.8557599719203438
CNTL-MB231,Control,4,pHrodo,250,17.190807342529297,16.80242919921875,6414.8,0.8884868395435039
CNTL-MB231,Control,4,TMRM,250,16.995094299316406,16.69959259033203,6416.9,0.8751655608649621
CNTL-MB231,Control,4,Lyso,250,13.230053901672363,13.44446849822998,6351.7,0.878802085906826
CNTL-MB231,Control,4,Tubulin,250,44.89665603637695,42.03001022338867,11742.9,0.8954113605527159
CNTL-MB231,Control,5,LipiBlue,225,15.979659080505371,16.48089599609375,6567.888888888889,0.7351894696429551
CNTL-MB231,Control,5,342,225,43.59641647338867,42.539981842041016,6482.555555555556,0.6639798287003539
CNTL-MB231,Control,5,BODIPY,225,17.752059936523438,18.03868293762207,8803.777777777777,0.7704680163444791
CNTL-MB231,Control,5,pHrodo,225,15.11224365234375,16.243106842041016,6167.666666666667,0.7810586980324303
CNTL-MB231,Control,5,TMRM,225,15.508050918579102,17.353139877319336,6344.666666666667,0.7985899837358703
CNTL-MB231,Control,5,Lyso,225,11.477714538574219,12.316765785217285,6078.888888888889,0.7624035059046215
CNTL-MB231,Control,5,Tubulin,225,42.62624740600586,41.26920700073242,11480.333333333334,0.8501307124999068
CNTL-MB231,Control,6,LipiBlue,250,20.005754470825195,20.18130111694336,5390.5,0.9204213897877475
CNTL-MB231,Control,6,342,250,59.9312744140625,48.51992416381836,5598.1,0.9127621152883731
CNTL-MB231,Control,6,BODIPY,250,20.952621459960938,19.443090438842773,7337.8,0.9093775455466593
CNTL-MB231,Control,6,pHrodo,250,16.962125778198242,17.059589385986328,5031.4,0.8766676994469417
CNTL-MB231,Control,6,TMRM,250,18.343433380126953,18.05626106262207,5227.4,0.9445985341166124
CNTL-MB231,Control,6,Lyso,250,13.111868858337402,13.124595642089844,4974.9,0.8709516823198366
CNTL-MB231,Control,6,Tubulin,250,51.89459991455078,45.89344024658203,9382.4,1.0349771768565001
CNTL_75uM_p1,Control,0,LipiBlue,180,16.45103645324707,14.545549392700195,3786.9,1.0
CNTL_75uM_p1,Control,0,342,180,112.68769836425781,70.54328918457031,5711.35,1.0
CNTL_75uM_p1,Control,0,BODIPY,180,27.623912811279297,25.36262321472168,5570.4,1.0
CNTL_75uM_p1,Control,0,pHrodo,180,18.77688980102539,18.610305786132812,4444.0,1.0
CNTL_75uM_p1,Control,0,TMRM,180,23.453248977661133,21.613162994384766,4657.4,1.0
CNTL_75uM_p1,Control,0,Lyso,180,13.989749908447266,13.560619354248047,4242.25,1.0
CNTL_75uM_p1,Control,0,Tubulin,180,22.416574478149414,18.418426513671875,7885.95,1.0
CNTL_75uM_p1,Control,1,LipiBlue,612,11.218923568725586,10.233413696289062,1260.6176470588234,0.6819584650857192
CNTL_75uM_p1,Control,1,342,612,75.69537353515625,61.063209533691406,1969.0441176470588,0.6717270352836068
CNTL_75uM_p1,Control,1,BODIPY,612,37.46049880981445,35.36553192138672,1959.5588235294117,1.3560895252506993
CNTL_75uM_p1,Control,1,pHrodo,612,30.385486602783203,22.793270111083984,1613.6764705882354,1.6182385328332638
CNTL_75uM_p1,Control,1,TMRM,612,27.3582706451416,25.251693725585938,1704.3529411764705,1.166502375478977
CNTL_75uM_p1,Control,1,Lyso,612,16.245668411254883,15.689184188842773,1483.735294117647,1.1612550987380734
CNTL_75uM_p1,Control,1,Tubulin,612,22.123737335205078,22.07426643371582,2776.25,0.9869365793052021
CNTL_75uM_p1,Control,2,LipiBlue,909,12.356094360351562,11.145297050476074,441.66336633663366,0.7510830333071654
CNTL_75uM_p1,Control,2,342,909,75.59790802001953,61.365692138671875,756.7722772277227,0.6708621182025811
CNTL_75uM_p1,Control,2,BODIPY,909,36.24662399291992,35.1242790222168,666.4257425742575,1.312146626024675
CNTL_75uM_p1,Control,2,pHrodo,909,30.53935432434082,26.652799606323242,566.3564356435644,1.6264330593596545
CNTL_75uM_p1,Control,2,TMRM,909,33.51689147949219,29.545621871948242,584.3960396039604,1.4290937477965855
CNTL_75uM_p1,Control,2,Lyso,909,17.956281661987305,17.7720947265625,524.9702970297029,1.283531283939892
CNTL_75uM_p1,Control,2,Tubulin,909,27.32025718688965,26.005325317382812,977.1584158415842,1.2187525446191658
CNTL_75uM_p1,Control,3,LipiBlue,666,12.030573844909668,11.090032577514648,490.0945945945946,0.7312957988452514
CNTL_75uM_p1,Control,3,342,666,66.88008117675781,55.04237747192383,759.2567567567568,0.5934993983156087
CNTL_75uM_p1,Control,3,BODIPY,666,37.61873245239258,35.83866882324219,755.5,1.361817665346534
CNTL_75uM_p1,Control,3,pHrodo,666,28.67474365234375,25.851266860961914,618.2432432432432,1.5271295702431957
CNTL_75uM_p1,Control,3,TMRM,666,33.36605453491211,27.98944091796875,648.6891891891892,1.4226623597733847
